Complexity,Loss,Equation
1,8.1148615,"-0.18533458"
3,5.9427202e-6,"x0 * -3.9997592"
5,5.929354e-6,"-0.0001154233 - (x0 * 3.9997466)"
7,5.9293075e-6,"((x0 - 0.13632259) * -3.9997473) + -0.54537165"
9,5.9269405e-6,"(x0 * -3.999743) + (-0.00011437027 - (x1 * -3.545431e-5))"
11,5.926932e-6,"((x1 * 3.4950182e-5) + -0.91850394) - ((x0 + -0.2296122) * 3.9997444)"
