time,position,velocity,acceleration
0.0,1.0,0.0,-3.9997313500264258
0.01001001001001001,0.9997996062425661,-0.04003735085111537,-3.9989305556662234
0.02002002002002002,0.9991985049769212,-0.08005866978310758,-3.9965270495287673
0.03003003003003003,0.9981969371214966,-0.12004790239323283,-3.99252108161818
0.04004004004004004,0.9967953040687764,-0.15998902176745552,-3.9869149211054036
0.050050050050050046,0.9949941676107169,-0.19986601893187955,-3.979710797549674
0.06006006006006006,0.9927942495591091,-0.23966291160828984,-3.970911686674892
0.07007007007007007,0.9901964316848866,-0.27936375039684236,-3.9605211269098586
0.08008008008008008,0.9872017551515123,-0.31895262385873746,-3.9485432306080086
0.09009009009009009,0.983811420137344,-0.3584136649235292,-3.9349828006590046
0.10010010010010009,0.9800267855636751,-0.3977310583063652,-3.9198452801028325
0.11011011011011011,0.975849368116832,-0.4368890459065689,-3.9031367269847363
0.12012012012012012,0.9712808422050854,-0.475871933721475,-3.884863844108151
0.13013013013013014,0.9663230387176559,-0.514664097840666,-3.8650339540836605
0.14014014014014015,0.9609779447409863,-0.553249990860287,-3.84365500679233
0.15015015015015015,0.9552477025448822,-0.5916141480266986,-3.8207355679147494
0.16016016016016016,0.949134608655098,-0.6297411934211429,-3.7962848200830335
0.17017017017017017,0.9426411130442144,-0.6676158461264591,-3.770312545497806
0.18018018018018017,0.9357698175926144,-0.7052229260637416,-3.7428291579775492
0.19019019019019018,0.9285234763388159,-0.7425473608006843,-3.7138457076380322
0.20020020020020018,0.9209049941274046,-0.7795741914819204,-3.683373844557456
0.21021021021021022,0.9129174255290069,-0.8162885789099427,-3.6514257519035485
0.22022022022022023,0.9045639716905302,-0.8526758081366461,-3.6180141799055647
0.23023023023023023,0.8958479801314434,-0.8887212952243684,-3.5831525354240314
0.24024024024024024,0.8867729439935128,-0.9244105936306207,-3.5468548139508074
0.2502502502502503,0.8773424999088515,-0.9597293996077679,-3.5091355651762344
0.2602602602602603,0.8675604268033866,-0.9946635578984132,-3.4700098956644916
0.2702702702702703,0.8574306462724526,-1.0291990671886386,-3.4294934800132646
0.2802802802802803,0.8469572183664233,-1.063322086026807,-3.3876025631682056
0.2902902902902903,0.8361443404903185,-1.0970189383231372,-3.34435393943635
0.3003003003003003,0.8249963457752028,-1.1302761188483554,-3.2997649391881136
0.3103103103103103,0.8135177021299917,-1.1630802984670434,-3.253853420783729
0.3203203203203203,0.8017130105963859,-1.1954183294746563,-3.206637789458147
0.3303303303303303,0.7895870023285013,-1.2272772512089483,-3.1581369869555025
0.34034034034034033,0.7771445372024802,-1.2586442951794712,-3.108370467470594
0.35035035035035034,0.7643906018667153,-1.2895068901973485,-3.0573581499246685
0.36036036036036034,0.7513303080702621,-1.3198526665493344,-3.0051204534787375
0.37037037037037035,0.7379688902872829,-1.3496694618385645,-2.9516783361406285
0.38038038038038036,0.7243117035966032,-1.3789453259315292,-2.8970532379656664
0.39039039039039036,0.7103642215727478,-1.407668525661701,-2.8412670570056724
0.40040040040040037,0.6961320341580892,-1.4358275492950061,-2.784342117427218
0.41041041041041043,0.6816208455762118,-1.4634111105951788,-2.7263012245704124
0.42042042042042044,0.6668364717397702,-1.4904081543915109,-2.6671676686251584
0.43043043043043044,0.6517848379951692,-1.5168078607178046,-2.606965165003571
0.44044044044044045,0.6364719767274849,-1.5425996491863772,-2.5457178284616724
0.45045045045045046,0.620904025215972,-1.5677731826089292,-2.4834501786933325
0.46046046046046046,0.6050872230215636,-1.59231837148254,-2.4201871814524467
0.47047047047047047,0.5890279093071158,-1.616225378433803,-2.355954212944782
0.4804804804804805,0.5727325203683862,-1.639484621991945,-2.290777025521006
0.4904904904904905,0.5562075870964511,-1.6620867803461354,-2.224681708873118
0.5005005005005005,0.5394597327351792,-1.6840227943417572,-2.1576947373224087
0.5105105105105106,0.5224956696798657,-1.705283872184422,-2.089842987914431
0.5205205205205206,0.5053221968677639,-1.7258614927985025,-2.0211536755452704
0.5305305305305306,0.48794619705341913,-1.7457474092323753,-1.9516543514066
0.5405405405405406,0.4703746340362086,-1.7649336519858219,-1.8813728297539398
0.5505505505505506,0.4526145505785876,-1.7834125309491708,-1.810337234922509
0.5605605605605606,0.43467306490558977,-1.8011766396719582,-1.7385760637750272
0.5705705705705706,0.4165573677197377,-1.8182188585522745,-1.6661181027324108
0.5805805805805806,0.3982747194490396,-1.8345323574443788,-1.5929924085117784
0.5905905905905906,0.3798324472869927,-1.8501105984624202,-1.519228274032501
0.6006006006006006,0.36123794277933763,-1.86494733790549,-1.444855223647161
0.6106106106106106,0.3424986587038381,-1.8790366289658669,-1.3699030727019739
0.6206206206206206,0.3236221055252268,-1.8923728248464704,-1.2944018887579134
0.6306306306306306,0.30461584862842017,-1.904950580692752,-1.2183819457593412
0.6406406406406406,0.28548750523341554,-1.9167648557926034,-1.1418737119882998
0.6506506506506506,0.2662447416375175,-1.9278109152670924,-1.0649078108390846
0.6606606606606606,0.24689527057448551,-1.9380843314850775,-0.9875150813192837
0.6706706706706707,0.22744684709840468,-1.9475809869651761,-0.9097265703032453
0.6806806806806807,0.20790726581808563,-1.9562970756352926,-0.83157346498245
0.6906906906906907,0.1882843577371611,-1.9642291043822422,-0.753087095567232
0.7007007007007007,0.16858598722079013,-1.9713738943653674,-0.6742988904305418
0.7107107107107107,0.1488200496093629,-1.977728581668139,-0.595240412126329
0.7207207207207207,0.12899446695211725,-1.9832906193328614,-0.515943366978477
0.7307307307307307,0.10911718504156882,-1.9880577782042446,-0.4364395463095141
